State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
Australia,Tasmania,2022-23 Q3 (Mar Qtr),Total Pathology,"40,191,803","876,354,665","36,073,064","4,118,739","788,450,677","87,903,988",89.80%,23.17,"1,039,827,487","931,414,719","786,303,707","145,111,012"
NSW,Northern Australia,2022-23 Q3 (Mar Qtr),Total Pathology,"13,483,391","295,886,278","11,864,909","1,618,482","263,446,710","32,439,568",88.00%,23.2,"351,440,288","313,904,423","262,672,231","51,232,192"
Vic,Australian Capital Territory,2022-23 Q3 (Mar Qtr),Total Pathology,"10,004,226","213,607,358","9,086,044","918,182","193,744,338","19,863,020",90.80%,23.84,"253,191,135","227,518,393","193,229,979","34,288,414"
Qld,Unknown,2022-23 Q3 (Mar Qtr),Total Pathology,"8,366,310","188,455,503","7,567,639","798,671","170,400,077","18,055,426",90.50%,23.88,"223,591,202","200,482,593","169,955,321","30,527,273"
SA,Australia,2022-23 Q3 (Mar Qtr),Total Pathology,"2,845,897","58,782,346","2,533,002","312,895","52,024,333","6,758,013",89.00%,21.1,"69,822,605","62,550,138","51,832,101","10,718,037"
WA,New South Wales,2022-23 Q3 (Mar Qtr),Total Pathology,"3,840,424","84,154,919","3,487,483","352,941","76,406,801","7,748,118",90.80%,24.63,"99,813,951","89,492,954","76,253,718","13,239,236"
Tas,Victoria,2022-23 Q3 (Mar Qtr),Total Pathology,"828,700","17,363,522","764,826","63,874","15,784,799","1,578,723",92.30%,26.65,"20,587,181","18,422,123","15,750,643","2,671,481"
NT,Queensland,2022-23 Q3 (Mar Qtr),Total Pathology,"271,637","5,976,784","264,061","7,576","5,752,762","224,021",97.20%,30.8,"7,039,394","6,101,432","5,739,542","361,890"
ACT,South Australia,2022-23 Q3 (Mar Qtr),Total Pathology,"550,624","12,113,586","504,579","46,045","10,878,221","1,235,364",91.60%,17.04,"14,324,589","12,927,176","10,857,536","2,069,640"
Unk,Western Australia,2022-23 Q3 (Mar Qtr),Total Pathology,594,"14,370",521,73,"12,636","1,734",87.70%,150,"17,143","15,485","12,636","2,849"
Australia,Tasmania,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"7,511,199","1,151,658,940","5,847,900","1,663,299","923,862,288","227,796,652",77.90%,125.96,"1,254,515,397","1,340,838,811","923,862,288","416,976,523"
NSW,Northern Australia,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"2,599,527","404,598,146","2,038,888","560,639","323,913,403","80,684,743",78.40%,122.11,"440,549,625","462,436,869","323,913,403","138,523,466"
Vic,Australian Capital Territory,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"1,876,402","279,235,361","1,447,294","429,108","227,205,938","52,029,423",77.10%,123.81,"306,672,693","328,660,537","227,205,938","101,454,598"
Qld,Unknown,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"1,575,461","240,263,327","1,230,051","345,410","192,459,236","47,804,091",78.10%,127.25,"260,509,984","281,898,407","192,459,236","89,439,171"
SA,Australia,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"477,500","73,842,954","360,465","117,035","56,309,611","17,533,343",75.50%,131.01,"80,456,440","87,726,540","56,309,611","31,416,929"
WA,New South Wales,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"723,591","113,507,851","592,042","131,549","94,587,784","18,920,067",81.80%,134.44,"122,465,767","129,917,927","94,587,784","35,330,143"
Tas,Victoria,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"126,683","19,128,188","87,487","39,196","13,829,347","5,298,841",69.10%,122.23,"20,937,740","23,490,763","13,829,347","9,661,417"
NT,Queensland,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"40,848","6,044,088","34,980","5,868","5,221,002","823,086",85.60%,144.19,"6,469,616","6,839,613","5,221,002","1,618,611"
ACT,South Australia,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,"91,080","15,021,275","56,614","34,466","10,321,662","4,699,613",62.20%,144.97,"16,434,197","19,847,746","10,321,662","9,526,084"
Unk,Western Australia,2022-23 Q3 (Mar Qtr),Diagnostic Imaging,107,"17,750",79,28,"14,305","3,445",73.80%,132.29,"19,336","20,410","14,305","6,105"
Australia,Tasmania,2022-23 Q3 (Mar Qtr),Total Operations,"2,918,769","549,469,432","1,079,731","1,839,038","116,995,908","432,473,524",37.00%,119.93,"696,017,028","1,151,577,894","116,995,908","1,034,581,986"
NSW,Northern Australia,2022-23 Q3 (Mar Qtr),Total Operations,"951,073","181,336,998","382,279","568,794","43,247,325","138,089,673",40.20%,140.16,"227,565,113","392,153,032","43,247,325","348,905,707"
Vic,Australian Capital Territory,2022-23 Q3 (Mar Qtr),Total Operations,"606,100","123,573,714","172,916","433,184","20,897,388","102,676,326",28.50%,118.56,"158,115,483","257,307,375","20,897,388","236,409,987"
Qld,Unknown,2022-23 Q3 (Mar Qtr),Total Operations,"761,042","125,467,574","347,853","413,189","34,740,224","90,727,350",45.70%,115.06,"157,684,855","258,777,573","34,740,224","224,037,349"
SA,Australia,2022-23 Q3 (Mar Qtr),Total Operations,"196,357","40,985,964","59,713","136,644","6,608,973","34,376,991",30.40%,84.77,"52,838,015","79,541,559","6,608,973","72,932,586"
WA,New South Wales,2022-23 Q3 (Mar Qtr),Total Operations,"299,805","56,586,072","92,745","207,060","8,749,286","47,836,786",30.90%,95.06,"72,413,270","113,921,406","8,749,286","105,172,120"
Tas,Victoria,2022-23 Q3 (Mar Qtr),Total Operations,"56,889","11,955,446","12,251","44,638","1,454,078","10,501,369",21.50%,72.97,"15,343,363","24,080,394","1,454,078","22,626,316"
NT,Queensland,2022-23 Q3 (Mar Qtr),Total Operations,"13,146","2,401,671","5,784","7,362","581,476","1,820,195",44.00%,99.81,"3,064,463","5,186,936","581,476","4,605,460"
ACT,South Australia,2022-23 Q3 (Mar Qtr),Total Operations,"34,297","7,150,322","6,173","28,124","714,992","6,435,329",18.00%,175.12,"8,977,605","20,579,145","714,992","19,864,153"
Unk,Western Australia,2022-23 Q3 (Mar Qtr),Total Operations,60,"11,672",17,43,"2,167","9,505",28.30%,185.92,"14,861","30,475","2,167","28,308"
Australia,Tasmania,2022-23 Q3 (Mar Qtr),Optometry,"2,822,921","140,114,401","2,665,732","157,189","132,479,162","7,635,239",94.40%,37.43,"164,728,712","145,998,083","132,479,162","13,518,921"
NSW,Northern Australia,2022-23 Q3 (Mar Qtr),Optometry,"901,239","44,753,690","861,616","39,623","42,792,072","1,961,618",95.60%,36.33,"52,613,569","46,193,212","42,792,072","3,401,140"
Vic,Australian Capital Territory,2022-23 Q3 (Mar Qtr),Optometry,"713,353","35,588,306","666,829","46,524","33,288,484","2,299,822",93.50%,37.06,"41,840,642","37,312,524","33,288,484","4,024,040"
Qld,Unknown,2022-23 Q3 (Mar Qtr),Optometry,"612,403","30,165,392","576,068","36,335","28,465,876","1,699,515",94.10%,36.09,"35,465,791","31,476,851","28,465,876","3,010,975"
SA,Australia,2022-23 Q3 (Mar Qtr),Optometry,"202,416","10,115,297","193,546","8,870","9,688,210","427,087",95.60%,36.23,"11,894,256","10,436,661","9,688,210","748,451"
WA,New South Wales,2022-23 Q3 (Mar Qtr),Optometry,"269,660","13,381,547","254,560","15,100","12,656,876","724,671",94.40%,43.79,"15,733,760","14,042,766","12,656,876","1,385,890"
Tas,Victoria,2022-23 Q3 (Mar Qtr),Optometry,"59,847","2,950,789","56,183","3,664","2,768,897","181,892",93.90%,28.07,"3,469,924","3,053,631","2,768,897","284,733"
NT,Queensland,2022-23 Q3 (Mar Qtr),Optometry,"18,221","913,184","17,866",355,"896,646","16,538",98.10%,43.97,"1,073,853","928,795","896,646","32,148"
ACT,South Australia,2022-23 Q3 (Mar Qtr),Optometry,"45,751","2,244,730","39,036","6,715","1,920,783","323,947",85.30%,45.78,"2,635,191","2,552,110","1,920,783","631,327"
Unk,Western Australia,2022-23 Q3 (Mar Qtr),Optometry,31,"1,468",28,3,"1,318",150,90.30%,22.32,"1,726","1,535","1,318",217
Australia,Tasmania,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"684,545","186,294,985","487,555","196,990","107,412,099","78,882,886",71.20%,89.92,"167,942,975","204,593,605","107,412,099","97,181,506"
NSW,Northern Australia,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"206,788","54,828,316","157,847","48,941","34,498,980","20,329,337",76.30%,93.75,"50,927,821","59,526,238","34,498,980","25,027,259"
Vic,Australian Capital Territory,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"169,981","44,246,614","128,018","41,963","28,197,769","16,048,845",75.30%,87.73,"42,066,084","48,210,582","28,197,769","20,012,813"
Qld,Unknown,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"152,257","42,959,571","97,911","54,346","22,409,630","20,549,941",64.30%,83.75,"37,377,154","47,703,880","22,409,630","25,294,250"
SA,Australia,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"46,373","14,717,559","24,846","21,527","5,897,129","8,820,430",53.60%,89.33,"11,850,477","16,643,626","5,897,129","10,746,497"
WA,New South Wales,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"74,711","22,332,478","50,937","23,774","11,357,410","10,975,069",68.20%,106.17,"18,432,694","24,851,239","11,357,410","13,493,830"
Tas,Victoria,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"22,671","4,653,095","18,598","4,073","3,393,840","1,259,255",82.00%,53.88,"4,782,210","4,884,660","3,393,840","1,490,819"
NT,Queensland,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"4,307","1,039,248","4,176",131,"994,224","45,024",97.00%,121.56,"1,137,334","1,055,182","994,224","60,959"
ACT,South Australia,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"7,402","1,503,534","5,167","2,235","648,548","854,986",69.80%,88.66,"1,353,135","1,703,627","648,548","1,055,079"
Unk,Western Australia,2022-23 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,55,"14,570",55, -   ,"14,570", -   ,100.00%, - ,"16,065","14,570","14,570", -   
Australia,Tasmania,2022-23 Q3 (Mar Qtr),Other MBS Services,"2,960,656","427,868,552","1,776,253","1,184,403","276,974,473","150,894,079",60.00%,131.32,"479,938,456","552,729,121","276,974,473","275,754,648"
NSW,Northern Australia,2022-23 Q3 (Mar Qtr),Other MBS Services,"976,346","142,768,748","604,631","371,715","94,337,265","48,431,483",61.90%,138.26,"160,553,120","183,115,047","94,337,265","88,777,782"
Vic,Australian Capital Territory,2022-23 Q3 (Mar Qtr),Other MBS Services,"698,782","107,986,617","444,431","254,351","69,392,649","38,593,968",63.60%,167.22,"119,184,249","140,454,424","69,392,649","71,061,775"
Qld,Unknown,2022-23 Q3 (Mar Qtr),Other MBS Services,"649,621","89,107,002","366,677","282,944","58,550,126","30,556,876",56.40%,114.93,"101,070,318","114,656,033","58,550,126","56,105,908"
SA,Australia,2022-23 Q3 (Mar Qtr),Other MBS Services,"214,278","30,789,715","115,608","98,670","18,629,708","12,160,007",54.00%,102.56,"34,659,460","39,831,541","18,629,708","21,201,833"
WA,New South Wales,2022-23 Q3 (Mar Qtr),Other MBS Services,"302,870","38,716,212","176,640","126,230","24,051,093","14,665,119",58.30%,107.66,"43,962,005","50,946,933","24,051,093","26,895,840"
Tas,Victoria,2022-23 Q3 (Mar Qtr),Other MBS Services,"57,693","9,045,118","31,301","26,392","6,204,649","2,840,469",54.30%,77.95,"10,395,089","10,978,907","6,204,649","4,774,258"
NT,Queensland,2022-23 Q3 (Mar Qtr),Other MBS Services,"18,399","3,951,894","13,901","4,498","3,129,626","822,269",75.60%,191.28,"4,247,435","4,661,300","3,129,626","1,531,674"
ACT,South Australia,2022-23 Q3 (Mar Qtr),Other MBS Services,"42,643","5,494,995","23,051","19,592","2,677,015","2,817,980",54.10%,146.01,"5,859,747","8,070,567","2,677,015","5,393,552"
Unk,Western Australia,2022-23 Q3 (Mar Qtr),Other MBS Services,24,"8,250",13,11,"2,343","5,907",54.20%,635.63,"7,034","14,369","2,343","12,026"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Total Medicare,"114,969,731","6,874,089,083","86,861,861","28,107,870","4,505,448,037","2,368,641,046",75.60%,76.27,"7,541,854,675","9,364,900,473","4,503,204,065","4,861,696,408"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Total Medicare,"38,135,136","2,296,080,972","29,421,758","8,713,378","1,548,440,327","747,640,645",77.20%,83.92,"2,518,698,521","3,117,284,470","1,547,614,582","1,569,669,888"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Total Medicare,"30,210,759","1,789,743,749","22,875,097","7,335,662","1,172,224,776","617,518,973",75.70%,76.72,"1,961,450,988","2,424,939,641","1,171,692,791","1,253,246,850"
Qld,Australia,2022-23 Q4 (Jun Qtr),Total Medicare,"23,168,595","1,397,829,997","17,420,827","5,747,768","916,743,238","481,086,759",75.20%,72.83,"1,530,579,895","1,908,842,626","916,305,621","992,537,005"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Total Medicare,"7,965,596","468,387,066","5,852,652","2,112,944","294,339,119","174,047,947",73.50%,62.58,"518,676,418","626,172,508","294,152,684","332,019,824"
WA,Victoria,2022-23 Q4 (Jun Qtr),Total Medicare,"10,806,920","652,041,477","7,925,599","2,881,321","411,578,842","240,462,635",73.30%,71.86,"716,746,581","897,940,701","411,401,226","486,539,474"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Total Medicare,"2,314,566","132,347,072","1,681,890","632,676","80,635,684","51,711,388",72.70%,64.8,"147,086,864","183,096,801","80,599,190","102,497,611"
NT,South Australia,2022-23 Q4 (Jun Qtr),Total Medicare,"696,832","40,832,564","568,156","128,676","30,712,765","10,119,799",81.50%,64.89,"44,154,263","51,843,754","30,697,313","21,146,441"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Total Medicare,"1,669,625","96,698,758","1,114,749","554,876","50,710,572","45,988,185",66.80%,83.06,"104,335,205","154,601,985","50,678,191","103,923,793"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Total Medicare,"1,702","127,428","1,133",569,"62,712","64,715",66.60%,108.47,"125,941","177,988","62,467","115,521"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"43,128,698","2,211,366,612","33,979,722","9,148,976","1,766,986,334","444,380,278",78.80%,43.35,"2,209,638,875","2,607,284,548","1,766,986,334","840,298,215"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"14,140,323","722,867,923","11,758,490","2,381,833","606,432,101","116,435,823",83.20%,43.38,"722,408,511","825,912,000","606,432,101","219,479,899"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"11,745,284","594,335,398","9,358,956","2,386,328","477,805,126","116,530,273",79.70%,43.76,"594,019,552","698,599,349","477,805,126","220,794,224"
Qld,Australia,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"8,638,392","451,233,857","6,645,177","1,993,215","354,237,339","96,996,518",76.90%,44.02,"450,452,348","538,793,423","354,237,339","184,556,084"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"2,889,269","148,060,324","2,149,953","739,316","112,478,835","35,581,488",74.40%,35.82,"148,197,040","174,540,962","112,478,835","62,062,127"
WA,Victoria,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"4,000,966","204,846,054","2,942,267","1,058,699","154,923,972","49,922,083",73.50%,43.37,"204,828,621","250,731,522","154,923,972","95,807,550"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"845,947","43,776,772","594,016","251,931","31,408,721","12,368,051",70.20%,48.43,"43,852,889","55,962,259","31,408,721","24,553,538"
NT,South Australia,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"262,858","15,568,742","191,002","71,856","12,167,108","3,401,634",72.70%,39.44,"15,577,200","18,403,135","12,167,108","6,236,027"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"605,168","30,650,654","339,511","265,657","17,513,889","13,136,764",56.10%,51.41,"30,276,332","44,308,413","17,513,889","26,794,524"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Total GP Non-Referred Attendances,491,"26,888",350,141,"19,243","7,645",71.30%,46.79,"26,382","33,485","19,243","14,242"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Practice Nurse,"742,795","11,156,599","727,083","15,712","10,427,981","728,618",97.90%,18.38,"10,842,301","11,445,329","10,427,981","1,017,348"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Practice Nurse,"226,678","3,266,349","223,229","3,449","3,130,729","135,620",98.50%,17.31,"3,215,560","3,326,062","3,130,729","195,333"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Practice Nurse,"140,046","1,958,601","136,543","3,503","1,779,672","178,929",97.50%,21.11,"1,879,310","2,032,562","1,779,672","252,891"
Qld,Australia,2022-23 Q4 (Jun Qtr),Practice Nurse,"179,847","2,949,028","174,097","5,750","2,614,341","334,687",96.80%,22.35,"2,785,842","3,077,551","2,614,341","463,209"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Practice Nurse,"60,049","805,325","58,739","1,310","786,830","18,495",97.80%,2.08,"807,464","808,053","786,830","21,224"
WA,Victoria,2022-23 Q4 (Jun Qtr),Practice Nurse,"81,793","1,208,786","81,062",731,"1,199,304","9,483",99.10%,4.84,"1,209,691","1,212,327","1,199,304","13,023"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Practice Nurse,"23,158","334,394","22,422",736,"296,442","37,952",96.80%,19.63,"316,806","348,843","296,442","52,401"
NT,South Australia,2022-23 Q4 (Jun Qtr),Practice Nurse,"26,729","572,987","26,552",177,"561,101","11,886",99.30%,30.77,"567,056","578,432","561,101","17,331"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Practice Nurse,"4,490","61,066","4,434",56,"59,500","1,567",98.80%,6.6,"60,507","61,436","59,500","1,936"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Practice Nurse,5,64,5, -   ,64, -   ,100.00%, - ,64,64,64, -   
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Other Allied Health,"4,032,532","324,276,817","1,849,296","2,183,236","123,840,579","200,436,238",45.90%,69.11,"366,217,290","475,166,593","123,840,579","351,326,014"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Other Allied Health,"1,251,505","100,569,084","569,106","682,399","38,401,188","62,167,896",45.50%,69.31,"113,185,024","147,863,301","38,401,188","109,462,113"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Other Allied Health,"1,190,194","95,420,033","525,695","664,499","34,975,069","60,444,965",44.20%,68.89,"107,760,053","141,196,745","34,975,069","106,221,677"
Qld,Australia,2022-23 Q4 (Jun Qtr),Other Allied Health,"790,824","62,944,960","392,858","397,966","26,434,033","36,510,928",49.70%,68.63,"71,240,182","90,255,729","26,434,033","63,821,696"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Other Allied Health,"306,876","23,165,301","178,413","128,463","11,375,185","11,790,116",58.10%,63.9,"26,669,982","31,373,741","11,375,185","19,998,556"
WA,Victoria,2022-23 Q4 (Jun Qtr),Other Allied Health,"362,210","30,527,210","149,359","212,851","10,033,267","20,493,942",41.20%,72.31,"34,330,537","45,918,733","10,033,267","35,885,466"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Other Allied Health,"72,221","6,092,972","20,178","52,043","1,589,705","4,503,267",27.90%,54.21,"6,973,038","8,914,377","1,589,705","7,324,672"
NT,South Australia,2022-23 Q4 (Jun Qtr),Other Allied Health,"12,191","966,857","6,183","6,008","443,979","522,878",50.70%,78.71,"1,112,436","1,439,747","443,979","995,768"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Other Allied Health,"46,471","4,587,464","7,491","38,980","587,313","4,000,151",16.10%,92.67,"4,942,706","8,199,582","587,313","7,612,269"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Other Allied Health,40,"2,936",13,27,840,"2,096",32.50%,63.01,"3,332","4,637",840,"3,797"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Specialist Attendances,"8,618,559","721,089,440","2,574,928","6,043,631","216,174,500","504,914,940",29.90%,116.09,"828,426,320","1,304,882,261","216,174,500","1,088,707,762"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Specialist Attendances,"2,953,137","254,273,581","970,373","1,982,764","83,616,563","170,657,019",32.90%,124.53,"289,076,936","464,117,713","83,616,563","380,501,150"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Specialist Attendances,"2,475,272","209,011,642","780,883","1,694,389","67,062,471","141,949,171",31.50%,110.27,"241,810,529","363,100,078","67,062,471","296,037,607"
Qld,Australia,2022-23 Q4 (Jun Qtr),Specialist Attendances,"1,601,356","131,103,901","406,972","1,194,384","32,406,561","98,697,340",25.40%,117.27,"150,903,472","244,057,363","32,406,561","211,650,802"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Specialist Attendances,"599,540","47,487,712","188,144","411,396","14,902,943","32,584,769",31.40%,90.86,"55,178,081","80,649,000","14,902,943","65,746,057"
WA,Victoria,2022-23 Q4 (Jun Qtr),Specialist Attendances,"694,685","54,866,623","147,491","547,194","11,254,865","43,611,758",21.20%,117.56,"63,667,982","107,427,709","11,254,865","96,172,844"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Specialist Attendances,"149,651","11,605,999","40,637","109,014","3,452,092","8,153,908",27.20%,96.42,"13,643,156","20,265,762","3,452,092","16,813,671"
NT,South Australia,2022-23 Q4 (Jun Qtr),Specialist Attendances,"29,159","2,382,635","9,725","19,434","832,508","1,550,127",33.40%,117.13,"2,786,347","4,237,635","832,508","3,405,127"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Specialist Attendances,"115,579","10,341,353","30,653","84,926","2,642,182","7,699,171",26.50%,140.2,"11,341,238","20,997,079","2,642,182","18,354,898"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Specialist Attendances,180,"15,993",50,130,"4,316","11,677",27.80%,141.17,"18,581","29,922","4,316","25,606"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Obstetrics,"403,685","43,166,586","215,317","188,368","11,150,508","32,016,077",53.30%,303.95,"47,786,377","112,396,367","11,150,508","101,245,859"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Obstetrics,"136,189","15,415,857","73,408","62,781","3,886,003","11,529,854",53.90%,357.59,"16,894,774","41,658,018","3,886,003","37,772,016"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Obstetrics,"108,052","11,275,616","74,938","33,114","3,734,665","7,540,951",69.40%,524.71,"12,639,793","30,261,422","3,734,665","26,526,757"
Qld,Australia,2022-23 Q4 (Jun Qtr),Obstetrics,"77,524","7,844,936","32,120","45,404","1,688,862","6,156,074",41.40%,172.28,"8,739,559","18,473,369","1,688,862","16,784,507"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Obstetrics,"24,717","2,644,988","10,892","13,825","603,524","2,041,464",44.10%,213.02,"2,908,938","6,469,155","603,524","5,865,631"
WA,Victoria,2022-23 Q4 (Jun Qtr),Obstetrics,"44,030","4,609,438","18,149","25,881","976,831","3,632,607",41.20%,197.6,"5,072,315","11,618,362","976,831","10,641,531"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Obstetrics,"6,118","663,458","2,764","3,354","127,953","535,505",45.20%,230.41,"761,498","1,692,877","127,953","1,564,924"
NT,South Australia,2022-23 Q4 (Jun Qtr),Obstetrics,"2,643","167,077","1,943",700,"70,374","96,704",73.50%,200.99,"190,817","309,417","70,374","239,043"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Obstetrics,"4,411","545,174","1,102","3,309","62,255","482,919",25.00%,367.19,"578,632","1,913,705","62,255","1,851,450"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Obstetrics,1,42,1, -   ,42, -   ,100.00%, - ,50,42,42, -   
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Anaesthetics,"1,003,918","142,949,476","95,018","908,900","9,857,977","133,091,499",9.50%,202.71,"184,930,625","369,685,420","9,857,977","359,827,443"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Anaesthetics,"317,895","46,527,948","34,631","283,264","3,593,578","42,934,370",10.90%,182.87,"60,628,795","123,128,962","3,593,578","119,535,384"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Anaesthetics,"259,900","36,374,917","24,787","235,113","2,373,912","34,001,005",9.50%,206.83,"46,165,912","94,028,292","2,373,912","91,654,381"
Qld,Australia,2022-23 Q4 (Jun Qtr),Anaesthetics,"205,269","28,962,523","24,546","180,723","2,629,201","26,333,322",12.00%,152.71,"37,736,848","74,807,967","2,629,201","72,178,766"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Anaesthetics,"76,418","10,439,286","5,296","71,122","630,511","9,808,775",6.90%,157.95,"13,767,215","25,221,488","630,511","24,590,977"
WA,Victoria,2022-23 Q4 (Jun Qtr),Anaesthetics,"107,086","15,302,082","4,610","102,476","502,849","14,799,234",4.30%,419.96,"19,642,731","37,774,732","502,849","37,271,884"
Tas,Queensland,2022-23 Q4 (Jun Qtr),Anaesthetics,"19,375","2,792,812",343,"19,032","38,954","2,753,858",1.80%,110.06,"3,688,219","7,098,070","38,954","7,059,116"
NT,South Australia,2022-23 Q4 (Jun Qtr),Anaesthetics,"3,958","590,202",194,"3,764","25,743","564,459",4.90%,214.49,"773,124","1,505,453","25,743","1,479,709"
ACT,Western Australia,2022-23 Q4 (Jun Qtr),Anaesthetics,"14,003","1,957,948",609,"13,394","63,061","1,894,887",4.30%,240.34,"2,525,465","6,116,121","63,061","6,053,059"
Unk,Tasmania,2022-23 Q4 (Jun Qtr),Anaesthetics,14,"1,759",2,12,168,"1,590",14.30%, - ,"2,317","4,335",168,"4,167"
Australia,Northern Australia,2022-23 Q4 (Jun Qtr),Total Pathology,"40,181,706","885,092,779","35,735,608","4,446,098","788,928,097","96,164,682",88.90%,24.51,"1,051,351,555","946,081,199","786,684,126","159,397,073"
NSW,Australian Capital Territory,2022-23 Q4 (Jun Qtr),Total Pathology,"13,505,065","299,764,512","11,818,070","1,686,995","265,469,353","34,295,160",87.50%,25.47,"356,223,670","319,420,661","264,643,607","54,777,054"
Vic,Unknown,2022-23 Q4 (Jun Qtr),Total Pathology,"10,176,590","219,554,838","9,097,583","1,079,007","195,938,340","23,616,499",89.40%,24.24,"260,765,016","235,753,033","195,406,355","40,346,678"
Qld,Australia,2022-23 Q4 (Jun Qtr),Total Pathology,"8,038,996","183,061,971","7,248,254","790,742","164,756,839","18,305,132",90.20%,24.8,"217,346,859","195,517,255","164,319,221","31,198,034"
SA,New South Wales,2022-23 Q4 (Jun Qtr),Total Pathology,"2,853,824","59,716,410","2,501,588","352,236","52,115,946","7,600,464",87.70%,23.22,"71,063,991","64,028,078","51,929,511","12,098,567"
WA,Victoria,2022-23 Q4 (Jun Qtr),Total Pathology,"3,810,211","84,668,977","3,406,766","403,445","75,794,848","8,874,128",89.40%,25.04,"100,566,040","90,708,416","75,617,233","15,091,183"
